"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","Slamd64","#5a5050","Slackware","2005.1.19","2009.2.1",,"https://distroware.gitlab.io/os/Linux/s/slamd64",,,,,,,,,
"N","pQui","#105289","Slackware","2005.7","2013.11.08",,"https://distroware.gitlab.io/os/Linux/p/pqui",,,,,,,,,
"N","Slackintosh","#6496fa","Slackware","2005.9.29","2011.06.07",,"https://distroware.gitlab.io/os/Linux/s/slackintosh",,,,,,,,,
"N","RIP","#2b1bb0","Slackware","2006.5.5","2015.01.15",,"https://distroware.gitlab.io/os/Linux/r/rip",,,,,,,,,
"N","Bluewhite64","#2356e6","Slackware","2006.10.4","2012.11.16",,"https://distroware.gitlab.io/os/Linux/b/bluewhite64",,,,,,,,,
"N","Absolute","#5a4114","Slackware","2006.10.22",,,"https://distroware.gitlab.io/os/Linux/a/absolute",,,,,,,,,
"N","Wifislax","#303030","Slackware","2006.12.21",,,"https://distroware.gitlab.io/os/Linux/w/wifislax",,,,,,,,,
"N","Parted Magic","#58738f","Slackware","2007.01",,,"https://distroware.gitlab.io/os/Linux/p/parted-magic",,,,,,,,,
"N","ARMedslack","#000","Slackware","2007.1.18",,,"https://distroware.gitlab.io/os/Linux/s/slackware-arm","Slackware ARM","2012.8.25","https://distroware.gitlab.io/os/Linux/s/slackware-arm",,,,,,
"N","Draco","#bf0000","Slackware","2007.5.17","2015.12.23",,"https://distroware.gitlab.io/os/Linux/d/draco",,,,,,,,,
"N","SMS","#6283b9","Slackware","2007.8.10","2019.10.05",,"https://distroware.gitlab.io/os/Linux/s/superb-mini-server","Superb Mini Server","2010.6.11","https://distroware.gitlab.io/os/Linux/s/superb-mini-server",,,,,,
"N","Wifiway","#303030","Slackware","2008.12.3",,,"https://distroware.gitlab.io/os/Linux/w/wifiway",,,,,,,,,
"N","PLATYPUX","#884411","Slackware","2008.12.29","2014.11.9",,"https://distroware.gitlab.io/os/Linux/p/platypus",,,,,,,,,
"N","Kongoni","#fec367","Slackware","2009.2","2014.07.15",,"https://distroware.gitlab.io/os/Linux/k/kongoni",,,,,,,,,
"N","Linvo","#9cc720","Slackware","2009.3.28","2014.07.14",,"https://distroware.gitlab.io/os/Linux/l/linvo",,,,,,,,,
"N","Salix","#6e9834","Slackware","2009.9.16",,,"https://distroware.gitlab.io/os/Linux/s/salix",,,,,,,,,
"N","Slackel","#ddee22","Slackware","2011.6.16",,,"https://distroware.gitlab.io/os/Linux/s/slackel",,,,,,,,,
"N","Porteus","#000099","Slackware","2011.6.20",,,"https://distroware.gitlab.io/os/Linux/p/porteus",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Debian","#bf1238",,"1993.8.16",,"images/debian.svg","https://distroware.gitlab.io/os/Linux/d/debian",,,,,,,,,
"N","Omoikane Arma","#bfd0d6","Debian","2000.2",,,"https://distroware.gitlab.io/os/Linux/o/omoikane-arma",,,,,,,,,
"N","Knoppix","#c7bff0","Debian","2000.9.30",,,"https://distroware.gitlab.io/os/Linux/k/knoppix",,,,,,,,,
"N","Damn Small Linux","#cb9340","Knoppix","2003.6","2015.09.27",,"https://distroware.gitlab.io/os/Linux/d/damn-small-linux",,,,,,,,,
"N","Kanotix","#c8b582","Knoppix","2003.12.24",,,"https://distroware.gitlab.io/os/Linux/k/kanotix",,,,,,,,,
"N","Auditor Security Collection","#557c94","Knoppix","2004.5.20","2010.1.9",,"https://distroware.gitlab.io/os/Linux/b/backtrack","Backtrack","2006.5.26","https://distroware.gitlab.io/os/Linux/b/backtrack",,,,,,
"N","MAX","#477dbe","Knoppix","2004.5.27","2007.03",,"https://distroware.gitlab.io/os/Linux/m/max",,,,,,,,,
"N","Whoppix","#445fff","Knoppix","2004.8","2005.7.3",,"https://distroware.gitlab.io/os/Linux/w/whoppix",,,,,,,,,
"N","ParallelKnoppix","#a0553c","Knoppix","2005.4.25","2008.3.1",,"https://distroware.gitlab.io/os/Linux/p/parallelknoppix",,,,,,,,,
"N","Skolelinux","#e0b1b7","Debian","2001.7.2",,,"https://distroware.gitlab.io/os/Linux/d/debianedu","DebianEdu","2016.07.3","https://distroware.gitlab.io/os/Linux/d/debianedu",,,,,,
"N","MEPIS","#8598c0","Debian","2003.5","2016.07.29",,"https://distroware.gitlab.io/os/Linux/m/mepis","SimplyMEPIS","2004.9.7","https://distroware.gitlab.io/os/Linux/m/mepis",,,,,,
